lemma;variant;domain
alembik;1;wytw
alergen;1;sbst
alergia;1;prc
alergia;2;czuj
alergiczka;1;os
alergik;1;os
alergizowanie;1;czy
alergolog;1;os
alergologia;1;umy
alert;1;st
aleuryt;1;sbst
alfa;1;por
alfa i omega;1;os
alfabet;1;por
alfabet;2;umy
alfabet Braille'a;1;por
alfabet fikcyjny;1;por
alfabet głuchoniemych;1;por
alfabet grecki;1;por
alfabet łaciński;1;por
alfabet migany;1;por
alfabet Morse'a;1;por
alfabet muzyczny;1;por
alfabet więzienny;1;por
alfabetyzacja;1;czy
alfons;1;os
alfonsiak;1;os
alfonska;1;os
alga;1;rsl
algebra;1;umy
algebra liniowa;1;umy
algebra macierzy;1;umy
algebraista;1;os
Algierczyk;1;os
Algieria;1;msc
Algierka;1;os
Algierska Republika Ludowo-Demokratyczna;1;msc
Algol;1;por
algolog;1;os
algologia;1;umy
algonk;1;czas
algorytm;1;wytw
algorytm ewolucyjny;1;umy
algorytm genetyczny;1;umy
algorytm heurystyczny;1;umy
algorytmika;1;umy
algorytmizacja;1;czy
algorytmizacja;2;czy
algorytmizowanie;1;czy
algorytmizowanie;2;czy
algrafia;1;wytw
algrafia;2;czy
alians;1;zwz
aliant;1;os
aliantka;1;os
alias;1;por
alias;2;por
alias internetowy;1;por
aliasing;1;umy
aliasing;2;cech
aliaż;1;grp
aliaż;2;sbst
alibi;1;wytw
alidada;1;wytw
alienacja;1;st
aligator;1;zw
aligator amerykański;1;zw
aligator chiński;1;zw
aligator missisipski;1;zw
alikwot;1;zj
alimenciarz;1;os
alimenciarz;2;os
alimenta;1;pos
alimentacja;1;pos
alimentator;1;os
alimenty;1;pos
alit;1;rz
alit;2;sbst
aliteracja;1;por
alizaryna;1;sbst
alka;1;zw
alkad;1;os
alkaliczność;1;cech
alkaloid;1;sbst
alkaloza;1;zj
alkamina;1;sbst
alkan;1;sbst
alkantaryni;1;grp
alkantarzysta;1;os
alkantarzyści;1;grp
alkazar;1;wytw
alkazar;2;wytw
alken;1;sbst
alki;1;sys
alkierz;1;msc
alkierz;2;msc
alkierzyk;1;msc
alkierzyk;2;msc
alkil;1;sbst
alkin;1;sbst
alkohol;1;jedz
alkohol;2;sbst
alkohol butylowy;1;sbst
alkohol etylowy;1;sbst
alkohol metylowy;1;sbst
alkohol rolniczy;1;sbst
alkoholan;1;sbst
alkoholiczka;1;os
alkoholik;1;os
alkoholizacja;1;czy
alkoholizacja;2;czy
alkoholizm;1;st
alkoholizm;2;st
alkoholizowanie;1;czy
alkoholizowanie;2;czy
alkomat;1;wytw
alkometr;1;wytw
alkowa;1;msc
allegretto;1;por
allegretto;2;por
allegro;1;por
allegro;2;por
allegro;3;por
allel;1;rz
alleluja;1;por
allogamia;1;cech
allozaur;1;zw
alma mater;1;msc
almanach;1;wytw
almanach;2;wytw
almanach;3;wytw
almandyn;1;rz
alochton;1;os
alodium;1;pos
aloes;1;rsl
alokacja;1;czy
alokowanie;1;czy
alonim;1;por
alonż;1;wytw
alonż;2;wytw
alonżka;1;wytw
alopata;1;os
alopatia;1;czy
alotropia;1;zj
aloza;1;zw
alpaga;1;jedz
alpaka;1;zw
alpaka;2;wytw
alpaka;3;sbst
alpaks;1;sbst
alpejczyk;1;os
alpejka;1;os
alpidy;1;rz
alpinarium;1;msc
alpinia;1;rsl
alpinista;1;os
alpinistka;1;os
alpinistyka;1;zdarz
alpinizm;1;zdarz
Alpy;1;msc
alrauna;1;rsl
alt;1;os
alt;2;por
altana;1;wytw
altanka;1;wytw
altannik;1;zw
altannik lśniący;1;zw
altanniki;1;sys
altaria;1;pos
altarysta;1;os
altarzysta;1;os
alter ego;1;os
alteracja;1;zj
alterglobalista;1;os
alterglobalizm;1;zwz
alternacja;1;por
alternacja ilościowa;1;zj
alternacja jakościowa;1;zj
alternacja samogłoskowa;1;zj
alternacja spółgłoskowa;1;zj
alternator;1;wytw
alternatywa;1;umy
alternatywa;2;umy
alternatywa;3;umy
alternatywa;4;umy
alternatywa wykluczająca;1;umy
alternatywność;1;umy
alterocentryzm;1;cech
altimetr;1;wytw
altimetr;2;wytw
altocumulus;1;zj
altocumulus lenticularis;1;zj
altostratus;1;zj
altowiolinista;1;os
altowiolinistka;1;os
altowiolista;1;os
altowiolistka;1;os
altówka;1;wytw
altówka miłosna;1;wytw
altruista;1;os
altruistka;1;os
altruizm;1;cech
altymetr;1;wytw
altymetr;2;wytw
altysta;1;os
altystka;1;os
alufelga;1;wytw
aluminiowanie;1;czy
aluminiowanie dyfuzyjne;1;czy
aluminium;1;sbst
aluminografia;1;czy
aluminografia;2;wytw
alumn;1;os
alumn;2;os
aluwium;1;czas
aluwium;2;rz
aluzja;1;por
aluzyjka;1;por
alwar;1;os
alwarowie;1;grp
alzheimer;1;prc
ałun;1;rz
ałunit;1;rz
ałycza;1;rsl
ałycza;2;jedz
Am;1;sbst
amalgamacja;1;umy
amalgamat;1;sbst
amalgamat;2;grp
amalgamat stomatologiczny;1;sbst
amalgamowanie;1;umy
amancik;1;os
amant;1;os
amant;2;os
amantka;1;os
amarant;1;cech
amarant;2;rsl
amarylek;1;rsl
amarylis;1;rsl
amarylkowate;1;sys
amator;1;os
amator;2;os
amator;3;os
amator;4;os
amator kwaśnych jabłek;1;os
amatorka;1;os
amatorka;2;os
amatorka;3;os
amatorka;4;os
amatorskość;1;cech
amatorstwo;1;cech
