lemma;domain;distance
bioenergoterapeuta;os;6
biofizyk;os;8
biograf;os;8
biolog;os;12
biolog;os;7
biomedyk;os;8
biometeorolog;os;9
bionik;os;8
biorca;os;5
biotechnolog;os;7
bioterapeuta;os;6
bioterrorysta;os;9
birbant;os;7
birkut;zw;8
birofil;os;8
birofilista;os;8
biruang;zw;9
biseks;os;7
biseksualista;os;6
bisiorka;zw;8
biskup;os;9
biskup pomocniczy;os;10
biskup rzymski;os;6
bistro;msc;9
bisurman;os;7
bisurman;os;8
bisurmanin;os;8
bitnik;os;6
biuralista;os;8
biuro;wytw;3
biurokracja;grp;3
biurokrata;os;7
biurokratka;os;8
biuro podróży;wytw;4
biuro poselskie;msc;4
biurwa;os;8
biwakowicz;os;6
Bizantyjczyk;os;7
Bizantyńczyk;os;7
bizantynista;os;9
bizantynolog;os;9
biznes;zwz;4
biznesmen;os;3
bizon;zw;6
blachara;os;7
blacharz;os;6
blacharz;os;8
blada twarz;os;7
bladź;os;8
bladź;os;9
blagier;os;8
blankista;os;8
bławatnik;os;6
bławatnik;zw;8
bławatnik meksykański;zw;9
bławatnik niebieski;zw;9
bławatnik purpurowy;zw;9
bławatnik śliwogardły;zw;9
bławatnik turkusowy;zw;9
błazen;os;6
błazen;os;7
błazen;os;8
blecharz;os;6
błędny ognik;os;4
błędny rycerz;os;7
blefiarz;os;7
blefiarz;os;9
błękitne hełmy;grp;5
bleskotka;zw;7
blicharz;os;6
bliźni;os;4
bliźniaczka;os;9
bliźniak;os;9
bliźnię;os;10
bloger;os;4
blogger;os;4
błogosławiony;os;7
blogowicz;os;4
blok;grp;2
blokada;grp;3
blokers;os;6
blokier;os;8
blokowy;os;9
blok socjalistyczny;grp;3
blok wschodni;grp;3
blok zachodni;grp;3
blondas;os;7
blondi;os;7
blondyn;os;7
blondzia;os;7
błonkówka;zw;7
błotniak;zw;7
błotniak stawowy;zw;8
błotniarka;zw;7
błotniarka moczarowa;zw;8
błotnica;zw;9
bluesman;os;9
bluffiarz;os;7
bluffiarz;os;9
