lemma;variant;domain;lemma;variant;domain
ideologizacja;1;6;ideologizować;1;39
werbalizacja;1;7;werbalizować;1;30
ekstrapolacja;2;6;ekstrapolować;1;29
umizgi;1;2;umizgiwać się;1;29
gruchot;1;16;gruchotać;2;33
wcisk;2;8;wciskać;1;33
wcisk;1;7;wciskać kit;1;30
dosiad;2;8;dosiadać;2;36
dosiad;1;8;dosiadać;2;36
infantylizacja;1;6;infantylizować;1;30
obsada;6;2;obsadzać;3;39
obsada;2;2;obsadzać;3;39
druk;6;2;drukować;3;34
dodruk;2;2;dodrukować;2;34
wyprawa;5;2;wyprawić;3;34
macanka;1;8;macać;1;33
macanko;1;8;macać;1;33
macanka;3;8;macać;1;33
błysk;3;4;błyszczeć;1;40
współredakcja;1;2;współredagować;1;29
spęd;2;8;spędzać;3;28
przetop;2;2;przetopić;1;34
wytop;1;2;wytopić;1;34
zrost;1;19;zrastać się;1;28
zrost;1;19;zrastać się;2;28
różnienie;1;23;różnić;1;40
pełnienie jakiejś funkcji;1;23;pełnić jakąś funkcję;1;40
przedzielanie;3;23;przedzielać;3;40
bronienie;8;23;bronić;8;40
reprezentowanie;2;23;reprezentować;2;39
rozpoczynanie;3;23;rozpoczynać;3;40
przegradzanie;2;23;przegradzać;2;40
mentorowanie;3;23;mentorować;3;39
odgradzanie;3;23;odgradzać;3;40
dzielenie;3;23;dzielić;3;40
odgrywanie roli;1;23;odgrywać rolę;1;40
pełnienie roli;1;23;pełnić rolę;1;40
granie roli;1;23;grać rolę;1;40
znaczenie;4;23;znaczyć;4;39
liczenie się;2;23;liczyć się;2;39
stykanie się;2;23;stykać się;2;40
spotykanie się;3;23;spotykać się;3;40
kojarzenie się;1;23;kojarzyć się;1;29
łączenie się;4;23;łączyć się;4;29
wiązanie się;2;23;wiązać się;2;29
towarzyszenie;2;23;towarzyszyć;2;40
podleganie;3;23;podlegać;3;39
wtórowanie;3;23;wtórować;3;37
zagrażanie;1;23;zagrażać;1;35
grożenie;1;23;grozić;1;35
wiszenie nad głową;1;23;wisieć nad głową;1;35
prześciganie;2;23;prześcigać;2;29
przeganianie;7;23;przeganiać;7;29
współwystępowanie;1;23;współwystępować;1;40
uzupełnianie;2;23;uzupełniać;2;40
dopełnianie;2;23;dopełniać;2;40
przysługiwanie;1;23;przysługiwać;1;38
należenie się;1;23;należeć się;1;38
