lemma;variant;domain;lemma;variant;domain
trepanacja;1;zdarz;trepanować;1;hig
wszczepienie;1;zdarz;wszczepiać;1;cwyt
implantacja;1;zdarz;implantować;1;cwyt
sterylizacja;1;czy;sterylizować;2;zmn
dezynfekcja;1;czy;dezynfekować;1;zmn
pasteryzacja;1;czy;pasteryzować;1;cwyt
asenizacja;1;czy;asenizować;1;dtk
deratyzacja;1;czy;deratyzować;1;dtk
odszczurzanie;2;czy;odszczurzać;1;dtk
dezynsekcja;1;czy;dezynsekować;1;dtk
lewitacja;1;zj;lewitować;1;cst
przesuw;1;czy;przesuwać;3;ruch
ablaktacja;1;czy;ablaktować;1;cwyt
bilans;1;czy;bilansować;1;sp
pelengacja;1;czy;pelengować;1;zmn
destylacja;1;czy;destylować;1;dtk
dyfuzja;1;prc;dyfundować;1;zmn
dysocjacja;1;prc;dysocjować;1;zmn
hydroliza;1;prc;hydrolizować;1;zmn
praktyka;3;czy;praktykować;4;cumy
aplikacja;3;czy;aplikować;5;cumy
socjalizacja;1;prc;socjalizować;1;sp
pauperyzacja;1;zdarz;pauperyzować;1;cpos
penalizacja;1;zdarz;penalizować;1;sp
reglamentacja;1;umy;reglamentować;1;cpos
stymulacja;1;czy;stymulować;1;sp
dezaktywizacja;1;czy;dezaktywizować;1;sp
przechwyt;1;czy;przechwytywać;1;cpos
ekstrakcja;1;czy;ekstrahować;1;cwyt
detronizacja;2;zwz;detronizować;2;sp
podryw;2;por;podrywać;2;cumy
deprawacja;1;czy;deprawować;1;sp
dezercja;2;czy;dezerterować;2;sp
infiltracja;1;prc;infiltrować;1;sp
malwersacja;1;czy;malwersować;1;cpos
profanacja;1;czy;profanować;1;sp
asekuracja;2;czy;asekurować;2;ruch
zespolenie;2;zdarz;zespolić;1;cwyt
urobek;2;czy;urobić;3;cwyt
inkorporacja;1;zdarz;inkorporować;1;cpos
służba;3;czy;służyć;8;sp
złorzeczenie;2;por;złorzeczyć;1;cpor
transpozycja;1;czy;transponować;2;zmn
interferencja;1;zdarz;interferować;1;zmn
systematyzacja;1;umy;systematyzować;1;zmn
ściągnięcie;10;por;ściągnąć;10;zmn
retusz;2;czy;retuszować;2;cwyt
retusz;3;por;retuszować;3;cwyt
retusz;1;czy;retuszować;1;cumy
unowocześnienie;2;st;unowocześniać;1;zmn
celebra;2;cech;celebrować;1;sp
celebracja;2;cech;celebrować;1;sp
celebra;1;zdarz;celebrować;2;sp
podpałka;2;czy;podpalić;2;cwyt
rozpałka;2;czy;rozpalać;2;cwyt
latynizacja;1;cel;latynizować;2;cumy
ubóstwienie;1;zwz;ubóstwiać;2;sp
indukcja;2;umy;indukować;3;cumy
indukcja;1;zj;indukować;2;zmn
jonizacja;1;zj;jonizować;1;cwyt
nobilitacja;1;zdarz;nobilitować;1;zmn
dyskredytacja;2;zdarz;dyskredytować;1;sp
marginalizacja;1;zdarz;marginalizować;1;sp
chłosta;1;czy;chłostać;1;wal
docisk;1;st;dociskać;1;dtk
regulacja;3;czy;regulować;2;dtk
regulacja;1;czy;regulować;4;dtk
szabrownictwo;1;pos;szabrować;1;cpos
biwak;1;zdarz;biwakować;1;sp
lamentacja;2;por;lamentować;1;cczuj
pertraktacje;1;por;pertraktować;1;cpor
cenzura;1;por;cenzurować;1;sp
zapis;1;czy;zapisać;4;cwyt
transkrypcja;1;czy;transkrybować;2;cpor
immatrykulacja;2;czy;immatrykulować;1;sp
beatyfikacja;1;zwz;beatyfikować;1;sp
kanonizacja;1;zdarz;kanonizować;1;sp
konsekracja;2;zdarz;konsekrować;2;sp
konsekracja;1;zdarz;konsekrować;1;sp
celebracja;1;zdarz;celebrować;2;sp
marszczenie;3;cech;marszczyć;2;zmn
krystalizacja;2;prc;krystalizować;2;cpor
konkretyzacja;1;prc;konkretyzować;1;cpor
opływ;2;zdarz;opływać;1;dtk
mlask;1;zj;mlaskać;1;cwyt
feminizacja;1;zwz;feminizować;2;sp
charczenie;2;zj;charczeć;1;cpor
cmokanie;1;zj;cmokać;1;cpor
grzechotanie;1;zj;grzechotać;1;cpor
parskanie;3;zj;parskać;2;cpor
żeniaczka;1;zdarz;żenić się;1;sp
odskok;1;st;odskoczenie;2;st
odskoczenie;2;st;odskoczyć;2;ruch
odskoczenie;2;st;odskok;1;st
odskok;2;st;odskoczyć;3;cst
pląs;1;czy;pląsać;1;ruch
wygięcie;2;czy;wygiąć się;1;ruch
zubożenie;2;pos;zubożeć;1;cpos
obniżenie;1;prc;obniżyć się;1;zmn
łysienie;1;prc;łysieć;1;zmn
implozja;1;zdarz;implodować;1;zmn
trawers;4;zj;trawersować;1;ruch
aklimatyzacja;1;prc;aklimatyzować;1;zmn
akumulacja;1;zdarz;akumulować;1;cpos
demokratyzacja;1;zwz;demokratyzować się;1;sp
dobudowa;1;czy;dobudowywać;1;cwyt
ekshumacja;1;zdarz;ekshumować;1;dtk
harmonizacja;1;st;harmonizować;1;cst
neutralizacja;1;prc;neutralizować;1;zmn
odsprzedaż;1;pos;odsprzedać;1;cpos
optymalizacja;1;st;optymalizować;1;zmn
przeładunek;1;zdarz;przeładowywać;1;ruch
synchronizacja;1;zdarz;synchronizować;1;zmn
opływ;1;zdarz;opływać;1;dtk
rozesłanie;3;zdarz;rozesłać;2;ruch
wakat;1;st;wakować;1;cst
wojaż;1;zdarz;wojażować;1;ruch
kwitnienie;1;prc;kwitnąć;3;cst
kroczenie;2;czy;kroczyć;1;ruch
rozporządzanie;2;por;rozporządzać;2;cpos
dźwiganie;4;czy;dźwigać;4;dtk
spowolnienie;1;zdarz;spowolnić;1;ruch
opadnięcie;1;prc;opaść;1;ruch
szwargot;1;por;szwargotać;1;cpor
otaczanie;1;czy;otaczać;1;cst
ożywianie;5;zdarz;ożywiać;5;sp
płynięcie;6;czy;płynąć;6;ruch
cygaństwo;1;por;cyganić;1;sp
obstalunek;1;por;obstalować;1;sp
opalizacja;1;zj;opalizować;1;cst
przepierka;1;czy;przepierać;1;hig
oświecenie;1;umy;oświecić;1;cumy
ipsacja;1;czy;ipsować;1;dtk
podejście;2;umy;podejść;2;cumy
aprowizacja;1;st;aprowidować;1;cpos
arabizacja;1;cel;arabizować;2;cumy
delegalizacja;1;czy;delegalizować;1;sp
ukrainizacja;1;cel;ukrainizować;1;cumy
wulgaryzacja;1;czy;wulgaryzować;1;sp
nostryfikacja;1;czy;nostryfikować;1;sp
paginacja;1;st;paginować;1;cwyt
napomknienie;1;por;napomknąć;1;cpor
demaskacja;1;zdarz;demaskować;1;sp
rozmawianie;1;czy;rozmawiać;1;cpor
podjęcie decyzji;1;umy;podjąć decyzję;1;cumy
postrzeżenie;2;zdarz;postrzegać;2;pst
hospitacja;1;zdarz;hospitować;1;sp
pozorowanie;1;czy;pozorować;1;zmn
regeneracja;4;prc;regenerować;3;cst
regeneracja;2;prc;regenerować;2;cwyt
seplenienie;2;prc;seplenić;1;cpor
komutacja;1;zdarz;komutować;1;dtk
amerykanizacja;1;prc;amerykanizować;1;cumy
dywersyfikacja;1;prc;dywersyfikować;1;cumy
romanizacja;1;prc;romanizować;2;cumy
teatralizacja;2;czy;teatralizować;1;cwyt
apercepcja;2;zj;apercypować;1;pst
ponoszenie;5;czy;ponosić;5;sp
windykacja;1;pos;windykować;1;cpos
internacjonalizacja;2;zdarz;internacjonalizować;1;zmn
bluff;2;zdarz;bluffować;1;sp
przemilczenie;3;por;przemilczeć;2;cpor
sekwestracja;1;pos;sekwestrować;1;sp
areszt;2;pos;aresztować;2;sp
hermetyzacja;1;prc;hermetyzować;2;zmn
impregnacja;1;czy;impregnować;1;cwyt
szus;2;czy;szusować;1;ruch
reaktywacja;1;czy;reaktywować;1;zmn
kandyzacja;1;czy;kandyzować;1;cjedz
ekstyrpacja;1;czy;ekstyrpować;1;dtk
imitatorstwo;1;czy;imitować;1;cst
oroszenie;2;zj;orosić;1;pog
kaloryzacja;1;czy;kaloryzować;1;cwyt
separacja;1;st;separować;1;sp
ciąg;3;zdarz;ciągnąć;10;ruch
fraternizacja;1;czy;fraternizować się;1;sp
zawieszenie;7;por;zawiesić;6;sp
ankieta;1;czy;ankietować;1;sp
asekuracja;1;zwz;asekurować;1;sp
polerka;2;czy;polerować;2;zmn
wysiadka;2;zdarz;wysiadać;1;ruch
adiustacja;1;czy;adiustować;1;cumy
dubbing;1;czy;dubbingować;1;cumy
